Alexa, Marc
Camenisch, Jan
Darwiche, Adnan
Dehon, Andre M
Devanbu, Premkumar T
Dey, Tamal K
Dwarkadas, Sandhya
Feiner, Steven
Finin, Tim
Funkhouser, Thomas
Garofalakis, Minos
Gerla, Mario
Gilbert, Juan E
Hajiaghayi, Mohammad T.
Halperin, Dan
He, Tian
Heinzelman, Wendi Beth
Hertzmann, Aaron
Hodgins, Jessica K
Hughes, John
Håstad, Johan
Isbell, Charles Lee
Keeton, Kimberly
Khanna, Sanjeev
Lee, Lillian
Leighton, Tom
Li, Fei-Fei
Littman, Michael
Liu, Huan
Luo, Jiebo
Maggs, Bruce M
Manjunath, Bangalore S
Misra, Vishal
Mueller, Frank
Parkes, David
Parulkar, Gurudatta
Pitassi, Toniann
Qiu, Lili
Roughan, Matthew
Sahai, Amit
Snoeren, Alex C.
Tesauro, Gerald
Thuraisingham, Bhavani
Vadhan, Salil
Voorhees, Ellen M
Wigderson, Avi
Wolman, Alec
Birkedal, Lars
Bugnion, Edouard
Burnett, Margaret
Chang, Shih Fu
Cohen, Edith
Comaniciu, Dorin
Dray, Susan
Fox, Edward Alan
Fujimoto, Richard M
Goldwasser, Shafi
Gomes, Carla
Grohe, Martin
Gupta, Aarti
Guruswami, Venkatesan
Gusfield, Dan
Hager, Gregory
Hand, Steven Michael
Harchol-Balter, Mor
Kale, Laxmikant
Kass, Michael
Keromytis, Angelos Dennis
Kesselman, Carl
Knightly, Edward
Knoblock, Craig
Lee, Insup
Lee, Wenke
Li, Li Erran
Loh, Gabriel H
Lozano-Perez, Tomas
Lynch, Clifford A
Ma, Yi
Mccallum, Andrew K.
Micali, Silvio
Moshovos, Andreas
Murphy, Gail C
Mutlu, Onur
Oliver, Nuria
Prabhakar, Balaji
Rabin, Tal
Ramakrishnan, K. K.
Ramamoorthi, Ravi
Rogers, Yvonne
Rui, Yong
Schoelkopf, Bernhard
Seitz, Steve
Sipser, Michael
Sivasubramaniam, Anand
Srivastava, Mani B.
Vardy, Alexander
Voelker, Geoffrey
Wong, Martin
Yang, Qiang
Zhai, Chengxiang
Zhang, Aidong
Alon, Noga
Barford, Paul
Benini, Luca
Bianchini, Ricardo
Blackburn, Stephen
Boneh, Dan
Brodley, Carla
Cassell, Justine
Demaine, Erik
Druin, Allison
Durand, Fredo
Feamster, Nick
Flinn, Jason
Freeman, William
Gil, Yolanda
Grossman, Robert L.
Gupta, Rajesh
Hendler, James
Henzinger, Monika
Hey, Anthony
Huang, Xuedong
Jackson, Daniel
Jacob, Robert J.K.
Jha, Somesh
Kannan, Ravi
Kermarrec, Anne-Marie
Kersten, Martin
Kozyrakis, Christos
Kwiatkowska, Marta
Landay, James
Leino, K. Rustan M.
Lyles, Joseph Bryan
Mowry, Todd C
Mudge, Trevor
Oviatt, Sharon
Padmanabhan, Venkata
Patel, Shwetak N
Peleg, David
Perlman, Radia
Perrig, Adrian
Ramalingam, Ganesan
Raschid, Louiqa
Rushmeier, Holly E
Saks, Michael E
Sapatnekar, Sachin S.
Sellen, Abigail
Sengupta, Sudipta
Seznec, Andre
Taylor, Valerie
Tomasi, Carlo
Van Oorschot, Paul
Veloso, Manuela
Zhou, Zhi-Hua
Ailamaki, Anastasia
Amato, Nancy M
Blei, David M.
Chang, Naehyuck
Chen, Hsinchun
Czerwinski, Mary P.
De Giacomo, Giuseppe
Dourish, Paul
Dwork, Cynthia
Fall, Kevin
Falsafi, Babak
Franz, Michael
Grumberg, Orna
Guha, Ramanathan
Haritsa, Jayant R
Hirschberg, Julia
Indyk, Piotr
Kuo, Tei-Wei
Leroy, Xavier
Lin, Chih-Jen
Liu, Bing
Liu, Yunhao
Luby, Michael George
Lyu, Michael Rung-Tsong
Maurer, Ueli M
McDaniel, Patrick
Miller, Victor
Mynatt, Elizabeth D.
Pearl, Judea
Pei, Jian
Pfenning, Frank
Radev, Dragomir R
Rajamani, Sriram
Rodriguez, Pablo
Sagiv, Shmuel
Schroeder, Peter
Schuster, Assaf
Skadron, Kevin
Tan, Wang-Chiew
Vempala, Santosh
Warnow, Tandy
Wooldridge, Michael
Abramsky, Samson
Adve, Vikram
Afrati, Foto
Bachman, Charles W
Borodin, Allan
Bundy, Alan
Cranor, Lorrie Faith
Davis, Timothy Alden
Devadas, Srinivas
Dhillon, Inderjit
Dutt, Nikil D.
Ellen, Faith
Ernst, Michael D
Finkelstein, Adam
Freire, Juliana
Gehrke, Johannes
Grimson, Eric
Guzdial, Mark
Heiser, Gernot
Horvitz, Eric
Joachims, Thorsten
Kearns, Michael
King, Valerie
Kraus, Sarit
Lamport, Leslie Barry
Malik, Sharad
Mansour, Yishay
Mitra, Subhasish
Mitzenmacher, Michael
Morris, Robert
Narayanan, Vijaykrishnan
Navathe, Shamkant
Patel, Jignesh M
Ranganathan, Parthasarathy
Reingold, Omer
Rodden, Tom
Rubinfeld, Ronitt
Rus, Daniela
Sangiovanni Vincentelli, Alberto Luigi
Schulzrinne, Henning
Shieber, Stuart
Srikant, Ramakrishnan
Srinivasan, Aravind
Sudarshan, S.
Syverson, Paul
Tsudik, Gene
Whittaker, Stephen J
Ackerman, Mark S
Aggarwal, Charu Chandra
Anderson, James H
Bellare, Mihir
Borgman, Christine L
Ceri, Stefano
Chakrabarty, Krishnendu
Chellappa, Ramalingam
Cox, Ingemar J.
De Lucena, Carlos J P
Dechter, Rina
Elliott, Chip
Forsyth, David
Gao, Wen
Garlan, David
Gosling, James
Haas, Peter
Hearst, Marti
Jarke, Matthias
Kannan, Sampath Kumar
Kasik, David J
Katabi, Dina
Kautz, Henry A
Kleinberg, Jon
Kumar, Panganamala
Lea, Douglas
Maarek, Yoelle
Manning, Christopher
Marathe, Madhav
Mellor-Crummey, John
Morrisett, Greg
Myers, Andrew
Nau, Dana
Rao, Satish
Robertson, S E
Roscoe, Timothy
Sellis, Timoleon
Shasha, Dennis E
Shavit, Nir N
Shim, Kyuseok
Smyth, Padhraic
Tambe, Milind
Tannen, Val
Williamson, David
Wong, Limsoon
Yung, Moti
Zegura, Ellen
Zhang, Zhengyou
Zhou, Yuanyuan
Zuckerman, David
Alonso, Gustavo
Arge, Lars
Baldi, Pierre
Boehm, Hans
Boutilier, Craig
Camp, Tracy
Cattell, Rick
Davis, Larry S
Elmagarmid, Ahmed
Fan, Wenfei
Gao, Lixin
Garfinkel, Simson L
Gibson, Garth A
Greenberg, Saul
Gross, Markus
Grove, David Paul
Grudin, Jonathan
Guerraoui, Rachid
Gupta, Manish
Hershberger, John
Kahng, Andrew
Karlin, Anna
Keshav, Srinivasan
Kiczales, Gregor
Kitsuregawa, Masaru
Libkin, Leonid
Milo, Tova
Nahrstedt, Klara
O'Rourke, Joseph
Pierce, Benjamin
Pingali, Keshav K
Pitts, Andrew M
Rastogi, Rajeev  Ramnarain
Reddy, Raj
Ross, Keith
Sakallah, Karem
Schreiber, Robert
Scott, Steven
Selman, Bart
Shamir, Ron
Shoham, Yoav
Sifakis, Joseph
Sinclair, Alistair
Stein, Clifford
Stoica, Ion
Tamassia, Roberto
Tichy, Walter F.
Valduriez, Patrick
Valiant, Leslie G
Yelick, Katherine
Zabih, Ramin
Zhang, Xiaodong
Abiteboul, Serge
Agrawal, Divyakant
Baecker, Ronald M
Ball, Thomas
Blelloch, Guy
Ebeling, Carl
Eppstein, David
Fox, Geoffrey
Furnas, George
Gifford, David K
Govindan, Ramesh
Guo, Baining
Heckerman, David
Holzmann, Gerard J.
Hoppe, Hugues
Jensen, Christian S.
Karloff, Howard J
Keckler, Stephen
Key, Peter B.
Kirkpatrick, Scott
Kraut, Robert E
Landau, Susan
Lin, Ming C
Magnusson, Peter
Malkhi, Dahlia
Marzullo, Keith
MATSUOKA, SATOSHI
Max, Nelson
Mitchell, Joseph
Mukherjee, Shubu
Ooi, Beng Chin
Ozsoyoglu, Zehra
Pach, Janos
Petzold, Linda
Pollack, Martha
Roth, Dan
Sanguinetti, John
Seltzer, Margo
Singhal, Amit
Souvaine, Diane L
Srivastava, Divesh
Suciu, Dan
Tullsen, Dean
Vahdat, Amin
Wetherall, David
Zadeck, Frank Kenneth
Abramson, David A
Adve, Sarita
Alvisi, Lorenzo
Barroso, Luiz Andre
Burger, Douglas C
Chayes, Jennifer
Chen, Peter
Condon, Anne
Crovella, Mark
Cytron, Ron
Dahlin, Michael D
El Abbadi, Amr
Ellis, Carla S.
Faloutsos, Christos
Fisher, Kathleen S
Goodman, James
Hall, Wendy
Hubaux, Jean-Pierre
Jordan, Michael  I.
Kavraki, Lydia
Kiesler, Sara
Klein, Philip N
Kossmann, Donald
Launchbury, John
Lyon, Richard F
Mooney, Raymond
Muthukrishnan, S.
Pereira, Fernando
Pevzner, Pavel
